minUtil: 2156
1. Pattern: ('40', '48', '52'), ExpSup: 378.53, Utility: 385381
382. Pattern: ('60', '62', '66'), ExpSup: 363.46, Utility: 141605
383. Pattern: ('29', '62', '66'), ExpSup: 363.47, Utility: 141539
384. Pattern: ('25', '34', '7'), ExpSup: 330.62, Utility: 141392
385. Pattern: ('56', '60', '62'), ExpSup: 362.99, Utility: 140878
386. Pattern: ('34', '5'), ExpSup: 695.45, Utility: 140856
387. Pattern: ('36', '56', '60'), ExpSup: 355.42, Utility: 140659
388. Pattern: ('42', '52', '7'), ExpSup: 330.11, Utility: 140535
389. Pattern: ('48', '58', '62'), ExpSup: 362.17, Utility: 140500
390. Pattern: ('56', '58', '66'), ExpSup: 356.84, Utility: 139847
391. Pattern: ('52', '58', '9'), ExpSup: 364.0, Utility: 139546
392. Pattern: ('36', '48', '62'), ExpSup: 350.56, Utility: 138851
393. Pattern: ('29', '3', '58'), ExpSup: 355.08, Utility: 138064
394. Pattern: ('25', '29', '60'), ExpSup: 359.93, Utility: 137735
395. Pattern: ('29', '60'), ExpSup: 777.6, Utility: 136920
396. Pattern: ('3', '58', '60'), ExpSup: 344.99, Utility: 136619
397. Pattern: ('34', '64'), ExpSup: 628.05, Utility: 136476
398. Pattern: ('29', '7', '9'), ExpSup: 345.0, Utility: 135337
399. Pattern: ('56', '62', '66'), ExpSup: 345.91, Utility: 135201
400. Pattern: ('36', '56', '66'), ExpSup: 336.92, Utility: 134973
401. Pattern: ('36', '52', '9'), ExpSup: 335.63, Utility: 134748
402. Pattern: ('25', '48', '58'), ExpSup: 343.42, Utility: 134346
403. Pattern: ('34', '58', '9'), ExpSup: 332.79, Utility: 133998
404. Pattern: ('29', '58', '7'), ExpSup: 378.91, Utility: 133951
405. Pattern: ('36', '52', '58'), ExpSup: 381.39, Utility: 133745
406. Pattern: ('29', '3', '36'), ExpSup: 342.02, Utility: 133572
407. Pattern: ('25', '36', '48'), ExpSup: 336.68, Utility: 133282
408. Pattern: ('52', '62', '9'), ExpSup: 348.18, Utility: 133116
409. Pattern: ('29', '3', '62'), ExpSup: 338.2, Utility: 133059
410. Pattern: ('25', '60', '66'), ExpSup: 341.38, Utility: 133024
411. Pattern: ('25', '29', '66'), ExpSup: 344.94, Utility: 132796
412. Pattern: ('60', '7', '9'), ExpSup: 335.88, Utility: 132756
413. Pattern: ('29', '66'), ExpSup: 748.18, Utility: 132172
414. Pattern: ('29', '56'), ExpSup: 757.1, Utility: 132152
415. Pattern: ('3', '36', '60'), ExpSup: 334.41, Utility: 132141
416. Pattern: ('60', '66'), ExpSup: 748.87, Utility: 132064
417. Pattern: ('3', '56', '58'), ExpSup: 338.94, Utility: 132021
418. Pattern: ('52', '58', '62'), ExpSup: 391.73, Utility: 131741
419. Pattern: ('3', '60', '62'), ExpSup: 332.45, Utility: 131638
420. Pattern: ('48', '9'), ExpSup: 681.86, Utility: 131587
421. Pattern: ('25', '29', '56'), ExpSup: 347.82, Utility: 131548
422. Pattern: ('48', '58'), ExpSup: 753.39, Utility: 131386
423. Pattern: ('58', '60', '7'), ExpSup: 375.55, Utility: 131327
424. Pattern: ('3', '58', '66'), ExpSup: 330.02, Utility: 131254
425. Pattern: ('56', '7', '9'), ExpSup: 326.86, Utility: 130840
426. Pattern: ('29', '42', '60'), ExpSup: 337.58, Utility: 130776
427. Pattern: ('25', '56', '60'), ExpSup: 335.72, Utility: 130250
428. Pattern: ('56', '60'), ExpSup: 739.43, Utility: 130088
429. Pattern: ('36', '48'), ExpSup: 729.26, Utility: 129898
430. Pattern: ('29', '36', '7'), ExpSup: 367.26, Utility: 129806
431. Pattern: ('29', '5', '9'), ExpSup: 331.69, Utility: 129679
432. Pattern: ('60', '72'), ExpSup: 589.49, Utility: 129080
433. Pattern: ('66', '72'), ExpSup: 583.0, Utility: 128876
434. Pattern: ('29', '72'), ExpSup: 585.77, Utility: 128596
435. Pattern: ('25', '48', '62'), ExpSup: 327.15, Utility: 128416
436. Pattern: ('29', '62', '7'), ExpSup: 371.38, Utility: 128389
437. Pattern: ('3', '56', '62'), ExpSup: 329.18, Utility: 128323
438. Pattern: ('31', '48'), ExpSup: 587.31, Utility: 128218
439. Pattern: ('29', '5', '58'), ExpSup: 370.52, Utility: 128022
440. Pattern: ('42', '60', '66'), ExpSup: 330.73, Utility: 127974
441. Pattern: ('5', '60', '9'), ExpSup: 326.76, Utility: 127934
442. Pattern: ('29', '42', '66'), ExpSup: 328.71, Utility: 127595
443. Pattern: ('3', '36', '56'), ExpSup: 329.59, Utility: 127518
444. Pattern: ('34', '36', '58'), ExpSup: 353.89, Utility: 127491
445. Pattern: ('56', '58', '7'), ExpSup: 361.59, Utility: 127456
446. Pattern: ('36', '52', '62'), ExpSup: 370.94, Utility: 127447
447. Pattern: ('17', '48'), ExpSup: 589.75, Utility: 127394
448. Pattern: ('11', '52'), ExpSup: 539.09, Utility: 127387
449. Pattern: ('36', '60', '7'), ExpSup: 361.5, Utility: 127137
450. Pattern: ('11', '48'), ExpSup: 481.74, Utility: 126971
451. Pattern: ('58', '66', '7'), ExpSup: 364.54, Utility: 126907
452. Pattern: ('5', '58', '60'), ExpSup: 366.44, Utility: 126130
453. Pattern: ('34', '58', '62'), ExpSup: 350.86, Utility: 126079
454. Pattern: ('60', '62', '7'), ExpSup: 363.94, Utility: 125858
455. Pattern: ('42', '48', '58'), ExpSup: 330.26, Utility: 125421
456. Pattern: ('48', '62'), ExpSup: 715.39, Utility: 125379
457. Pattern: ('56', '66'), ExpSup: 708.94, Utility: 125068
458. Pattern: ('52', '9'), ExpSup: 728.24, Utility: 124558
459. Pattern: ('29', '36', '5'), ExpSup: 356.0, Utility: 123980
460. Pattern: ('31', '52'), ExpSup: 641.53, Utility: 123555
461. Pattern: ('29', '5', '62'), ExpSup: 358.73, Utility: 123470
462. Pattern: ('29', '3'), ExpSup: 708.45, Utility: 123288
463. Pattern: ('36', '56', '7'), ExpSup: 344.88, Utility: 123249
464. Pattern: ('56', '62', '7'), ExpSup: 346.14, Utility: 123184
465. Pattern: ('25', '52', '58'), ExpSup: 366.04, Utility: 122999
466. Pattern: ('25', '52', '9'), ExpSup: 326.15, Utility: 122969
467. Pattern: ('5', '58', '66'), ExpSup: 351.52, Utility: 122934
468. Pattern: ('36', '66', '7'), ExpSup: 345.36, Utility: 122671
469. Pattern: ('34', '36', '62'), ExpSup: 343.76, Utility: 122074
470. Pattern: ('36', '5', '60'), ExpSup: 354.71, Utility: 122054
471. Pattern: ('3', '60'), ExpSup: 688.27, Utility: 121992
472. Pattern: ('5', '60', '62'), ExpSup: 355.31, Utility: 121646
473. Pattern: ('56', '72'), ExpSup: 547.29, Utility: 121376
474. Pattern: ('62', '66', '7'), ExpSup: 351.13, Utility: 121204
475. Pattern: ('5', '56', '58'), ExpSup: 347.3, Utility: 121128
476. Pattern: ('52', '58'), ExpSup: 804.84, Utility: 120951
477. Pattern: ('17', '52'), ExpSup: 629.95, Utility: 120894
478. Pattern: ('25', '36', '52'), ExpSup: 350.56, Utility: 120346
479. Pattern: ('11', '34'), ExpSup: 500.43, Utility: 120145
480. Pattern: ('25', '48'), ExpSup: 690.07, Utility: 119915
481. Pattern: ('3', '58', '7'), ExpSup: 339.55, Utility: 119725
482. Pattern: ('34', '9'), ExpSup: 682.1, Utility: 119678
483. Pattern: ('25', '29', '7'), ExpSup: 353.9, Utility: 119416
484. Pattern: ('3', '72'), ExpSup: 542.39, Utility: 119164
485. Pattern: ('36', '5', '66'), ExpSup: 336.77, Utility: 118784
486. Pattern: ('5', '62', '66'), ExpSup: 340.35, Utility: 118171
487. Pattern: ('3', '56'), ExpSup: 674.81, Utility: 118028
488. Pattern: ('29', '7'), ExpSup: 767.86, Utility: 117944
489. Pattern: ('25', '60', '7'), ExpSup: 340.87, Utility: 117745
490. Pattern: ('5', '56', '62'), ExpSup: 335.79, Utility: 117635
491. Pattern: ('31', '34'), ExpSup: 593.91, Utility: 117591
492. Pattern: ('36', '52'), ExpSup: 764.38, Utility: 117430
493. Pattern: ('25', '52', '62'), ExpSup: 358.73, Utility: 117385
494. Pattern: ('25', '34', '58'), ExpSup: 332.22, Utility: 117220
495. Pattern: ('3', '66'), ExpSup: 662.17, Utility: 117072
496. Pattern: ('36', '5', '56'), ExpSup: 334.3, Utility: 117052
497. Pattern: ('42', '52', '58'), ExpSup: 345.64, Utility: 116874
498. Pattern: ('64', '72'), ExpSup: 540.83, Utility: 116362
499. Pattern: ('17', '34'), ExpSup: 583.64, Utility: 115869
500. Pattern: ('52', '62'), ExpSup: 781.35, Utility: 115661
501. Pattern: ('60', '7'), ExpSup: 752.4, Utility: 115497
502. Pattern: ('34', '58'), ExpSup: 734.32, Utility: 115440
503. Pattern: ('48',), ExpSup: 1500.86, Utility: 115367
504. Pattern: ('25', '34', '36'), ExpSup: 327.87, Utility: 114884
505. Pattern: ('25', '29', '5'), ExpSup: 339.57, Utility: 113982
506. Pattern: ('25', '66', '7'), ExpSup: 327.19, Utility: 113746
507. Pattern: ('3', '5', '58'), ExpSup: 334.32, Utility: 113628
508. Pattern: ('29', '64'), ExpSup: 661.85, Utility: 113308
509. Pattern: ('25', '5', '60'), ExpSup: 326.63, Utility: 113073
510. Pattern: ('29', '5'), ExpSup: 739.46, Utility: 112623
511. Pattern: ('56', '7'), ExpSup: 721.02, Utility: 112322
512. Pattern: ('60', '64'), ExpSup: 659.26, Utility: 112012
513. Pattern: ('34', '36'), ExpSup: 716.91, Utility: 111964
514. Pattern: ('42', '48'), ExpSup: 650.48, Utility: 111887
515. Pattern: ('66', '7'), ExpSup: 727.27, Utility: 111671
516. Pattern: ('42', '52', '62'), ExpSup: 334.66, Utility: 111656
517. Pattern: ('7', '72'), ExpSup: 567.94, Utility: 111501
518. Pattern: ('5', '60'), ExpSup: 725.51, Utility: 110905
519. Pattern: ('34', '62'), ExpSup: 714.96, Utility: 110832
520. Pattern: ('29', '58', '9'), ExpSup: 356.46, Utility: 109094
521. Pattern: ('5', '72'), ExpSup: 552.47, Utility: 108591
522. Pattern: ('5', '58', '7'), ExpSup: 357.68, Utility: 108446
523. Pattern: ('56', '64'), ExpSup: 634.6, Utility: 108348
524. Pattern: ('64', '66'), ExpSup: 630.04, Utility: 108260
525. Pattern: ('5', '66'), ExpSup: 703.33, Utility: 108091
526. Pattern: ('25', '52'), ExpSup: 731.26, Utility: 107984
527. Pattern: ('58', '60', '9'), ExpSup: 352.1, Utility: 107700
528. Pattern: ('5', '56'), ExpSup: 689.09, Utility: 106663
529. Pattern: ('44', '48'), ExpSup: 628.53, Utility: 106483
530. Pattern: ('56', '58', '9'), ExpSup: 341.15, Utility: 105432
531. Pattern: ('29', '36', '9'), ExpSup: 337.04, Utility: 105344
532. Pattern: ('3', '7'), ExpSup: 676.28, Utility: 105239
533. Pattern: ('36', '5', '7'), ExpSup: 346.58, Utility: 104869
534. Pattern: ('46', '48'), ExpSup: 597.25, Utility: 104640
535. Pattern: ('5', '62', '7'), ExpSup: 341.32, Utility: 104460
536. Pattern: ('29', '62', '9'), ExpSup: 347.52, Utility: 104412
537. Pattern: ('52',), ExpSup: 1616.54, Utility: 104178
538. Pattern: ('27', '48'), ExpSup: 525.01, Utility: 104130
539. Pattern: ('58', '66', '9'), ExpSup: 333.35, Utility: 104020
540. Pattern: ('11', '29'), ExpSup: 535.32, Utility: 103978
541. Pattern: ('36', '60', '9'), ExpSup: 331.49, Utility: 103924
542. Pattern: ('60', '62', '9'), ExpSup: 335.07, Utility: 103142
543. Pattern: ('25', '34'), ExpSup: 676.03, Utility: 103024
544. Pattern: ('11', '60'), ExpSup: 514.05, Utility: 102938
545. Pattern: ('42', '52'), ExpSup: 688.23, Utility: 102622
546. Pattern: ('3', '64'), ExpSup: 600.44, Utility: 101888
547. Pattern: ('56', '62', '9'), ExpSup: 330.74, Utility: 101535
548. Pattern: ('11', '56'), ExpSup: 514.71, Utility: 101096
549. Pattern: ('29', '36', '58'), ExpSup: 384.49, Utility: 100706
550. Pattern: ('3', '5'), ExpSup: 659.41, Utility: 99860
551. Pattern: ('29', '58', '62'), ExpSup: 384.62, Utility: 99574
552. Pattern: ('34',), ExpSup: 1493.64, Utility: 99330
553. Pattern: ('36', '58', '60'), ExpSup: 378.01, Utility: 99248
554. Pattern: ('34', '42'), ExpSup: 639.83, Utility: 99078
555. Pattern: ('44', '52'), ExpSup: 667.7, Utility: 98857
556. Pattern: ('31', '72'), ExpSup: 508.88, Utility: 98595
557. Pattern: ('58', '60', '62'), ExpSup: 383.2, Utility: 98229
558. Pattern: ('11', '66'), ExpSup: 498.33, Utility: 97861
559. Pattern: ('46', '52'), ExpSup: 650.66, Utility: 96676
560. Pattern: ('48', '74'), ExpSup: 588.19, Utility: 96589
561. Pattern: ('29', '36', '62'), ExpSup: 371.76, Utility: 96365
562. Pattern: ('25', '29', '9'), ExpSup: 326.74, Utility: 96293
563. Pattern: ('31', '60'), ExpSup: 636.0, Utility: 96146
564. Pattern: ('29', '31'), ExpSup: 635.75, Utility: 95917
565. Pattern: ('64', '7'), ExpSup: 635.34, Utility: 95825
566. Pattern: ('36', '58', '66'), ExpSup: 355.39, Utility: 95678
567. Pattern: ('36', '56', '58'), ExpSup: 366.87, Utility: 95479
568. Pattern: ('27', '52'), ExpSup: 546.14, Utility: 95334
569. Pattern: ('56', '58', '62'), ExpSup: 366.22, Utility: 95289
570. Pattern: ('36', '60', '62'), ExpSup: 365.62, Utility: 94994
571. Pattern: ('58', '62', '66'), ExpSup: 364.44, Utility: 94488
572. Pattern: ('17', '29'), ExpSup: 628.98, Utility: 94380
573. Pattern: ('34', '44'), ExpSup: 613.63, Utility: 94149
574. Pattern: ('29', '9'), ExpSup: 720.07, Utility: 94064
575. Pattern: ('5', '64'), ExpSup: 630.61, Utility: 93701
576. Pattern: ('5', '7'), ExpSup: 713.08, Utility: 93495
577. Pattern: ('17', '60'), ExpSup: 606.34, Utility: 93374
578. Pattern: ('11', '3'), ExpSup: 466.5, Utility: 92869
579. Pattern: ('60', '9'), ExpSup: 702.33, Utility: 92804
580. Pattern: ('31', '66'), ExpSup: 615.35, Utility: 92680
581. Pattern: ('25', '29', '58'), ExpSup: 358.38, Utility: 92671
582. Pattern: ('21', '48'), ExpSup: 526.71, Utility: 92215
583. Pattern: ('34', '46'), ExpSup: 596.46, Utility: 92120
584. Pattern: ('36', '56', '62'), ExpSup: 349.08, Utility: 92030
585. Pattern: ('25', '58', '60'), ExpSup: 355.63, Utility: 91993
586. Pattern: ('72', '9'), ExpSup: 519.88, Utility: 91332
587. Pattern: ('36', '62', '66'), ExpSup: 342.29, Utility: 91202
588. Pattern: ('52', '74'), ExpSup: 624.53, Utility: 91129
589. Pattern: ('31', '56'), ExpSup: 593.05, Utility: 91111
590. Pattern: ('56', '9'), ExpSup: 688.26, Utility: 91078
591. Pattern: ('17', '56'), ExpSup: 593.84, Utility: 90871
592. Pattern: ('25', '29', '36'), ExpSup: 354.9, Utility: 90676
593. Pattern: ('58', '72'), ExpSup: 587.43, Utility: 90250
594. Pattern: ('58', '7', '9'), ExpSup: 342.0, Utility: 90227
595. Pattern: ('17', '72'), ExpSup: 458.35, Utility: 90147
596. Pattern: ('11', '7'), ExpSup: 515.72, Utility: 90027
597. Pattern: ('25', '36', '60'), ExpSup: 346.76, Utility: 89986
598. Pattern: ('27', '34'), ExpSup: 518.28, Utility: 89930
599. Pattern: ('11', '72'), ExpSup: 364.61, Utility: 89738
600. Pattern: ('66', '9'), ExpSup: 670.36, Utility: 89714
601. Pattern: ('3', '31'), ExpSup: 584.39, Utility: 89594
602. Pattern: ('17', '66'), ExpSup: 586.04, Utility: 89435
603. Pattern: ('48', '54'), ExpSup: 517.36, Utility: 89313
604. Pattern: ('25', '29', '62'), ExpSup: 358.23, Utility: 88962
605. Pattern: ('3', '36', '58'), ExpSup: 340.69, Utility: 88914
606. Pattern: ('25', '58', '66'), ExpSup: 337.86, Utility: 88773
607. Pattern: ('25', '60', '62'), ExpSup: 349.22, Utility: 88423
608. Pattern: ('3', '58', '62'), ExpSup: 339.69, Utility: 88377
609. Pattern: ('29', '42', '58'), ExpSup: 344.6, Utility: 88049
610. Pattern: ('25', '56', '58'), ExpSup: 341.55, Utility: 87645
611. Pattern: ('42', '58', '60'), ExpSup: 339.57, Utility: 87588
612. Pattern: ('36', '7', '9'), ExpSup: 326.26, Utility: 87059
613. Pattern: ('29', '58'), ExpSup: 794.58, Utility: 87031
614. Pattern: ('34', '74'), ExpSup: 584.6, Utility: 86946
615. Pattern: ('36', '72'), ExpSup: 567.77, Utility: 86942
616. Pattern: ('25', '36', '66'), ExpSup: 327.59, Utility: 86799
617. Pattern: ('62', '72'), ExpSup: 568.8, Utility: 86521
618. Pattern: ('5', '58', '9'), ExpSup: 332.23, Utility: 86447
619. Pattern: ('58', '60'), ExpSup: 784.78, Utility: 85721
620. Pattern: ('25', '36', '56'), ExpSup: 331.16, Utility: 85677
621. Pattern: ('3', '36', '62'), ExpSup: 326.38, Utility: 85420
622. Pattern: ('42', '58', '66'), ExpSup: 327.24, Utility: 85397
623. Pattern: ('17', '3'), ExpSup: 562.07, Utility: 85238
624. Pattern: ('29', '36', '42'), ExpSup: 327.44, Utility: 85182
625. Pattern: ('25', '62', '66'), ExpSup: 329.62, Utility: 84947
626. Pattern: ('25', '56', '62'), ExpSup: 333.38, Utility: 84601
627. Pattern: ('29', '36'), ExpSup: 765.95, Utility: 84385
628. Pattern: ('42', '56', '58'), ExpSup: 327.5, Utility: 84175
629. Pattern: ('42', '60', '62'), ExpSup: 328.38, Utility: 84064
630. Pattern: ('42', '72'), ExpSup: 544.27, Utility: 84056
631. Pattern: ('21', '52'), ExpSup: 565.54, Utility: 84050
632. Pattern: ('11', '5'), ExpSup: 480.39, Utility: 83830
633. Pattern: ('3', '9'), ExpSup: 640.82, Utility: 83696
634. Pattern: ('31', '64'), ExpSup: 555.28, Utility: 83623
635. Pattern: ('29', '62'), ExpSup: 772.37, Utility: 83526
636. Pattern: ('52', '54'), ExpSup: 556.59, Utility: 83439
637. Pattern: ('36', '60'), ExpSup: 750.51, Utility: 83055
638. Pattern: ('58', '66'), ExpSup: 747.26, Utility: 82834
639. Pattern: ('56', '58'), ExpSup: 759.72, Utility: 82803
640. Pattern: ('60', '62'), ExpSup: 762.34, Utility: 82302
641. Pattern: ('36', '58', '7'), ExpSup: 368.39, Utility: 81005
642. Pattern: ('25', '72'), ExpSup: 538.97, Utility: 80836
643. Pattern: ('11', '64'), ExpSup: 418.5, Utility: 80407
644. Pattern: ('31', '7'), ExpSup: 609.45, Utility: 80313
645. Pattern: ('36', '66'), ExpSup: 709.93, Utility: 80135
646. Pattern: ('36', '56'), ExpSup: 727.83, Utility: 80092
647. Pattern: ('58', '62', '7'), ExpSup: 364.91, Utility: 80003
648. Pattern: ('56', '62'), ExpSup: 730.52, Utility: 79966
649. Pattern: ('34', '54'), ExpSup: 523.85, Utility: 79939
650. Pattern: ('11', '17'), ExpSup: 456.21, Utility: 79699
651. Pattern: ('21', '34'), ExpSup: 531.2, Utility: 79670
652. Pattern: ('62', '66'), ExpSup: 725.14, Utility: 79147
653. Pattern: ('17', '7'), ExpSup: 598.52, Utility: 78828
654. Pattern: ('72',), ExpSup: 1177.8, Utility: 77802
655. Pattern: ('25', '29'), ExpSup: 733.79, Utility: 77685
656. Pattern: ('36', '5', '58'), ExpSup: 354.32, Utility: 77457
657. Pattern: ('36', '62', '7'), ExpSup: 351.28, Utility: 77360
658. Pattern: ('31', '5'), ExpSup: 601.28, Utility: 77079
659. Pattern: ('25', '60'), ExpSup: 715.42, Utility: 77075
660. Pattern: ('5', '58', '62'), ExpSup: 357.66, Utility: 76987
661. Pattern: ('3', '58'), ExpSup: 706.12, Utility: 76772
662. Pattern: ('64', '9'), ExpSup: 594.91, Utility: 76712
663. Pattern: ('7', '9'), ExpSup: 687.7, Utility: 75723
664. Pattern: ('11', '9'), ExpSup: 494.42, Utility: 75435
665. Pattern: ('68',), ExpSup: 1003.26, Utility: 75341
666. Pattern: ('25', '58', '7'), ExpSup: 340.95, Utility: 74455
667. Pattern: ('25', '66'), ExpSup: 681.41, Utility: 74411
668. Pattern: ('36', '5', '62'), ExpSup: 343.52, Utility: 74399
669. Pattern: ('17', '64'), ExpSup: 500.39, Utility: 74383
670. Pattern: ('3', '36'), ExpSup: 679.53, Utility: 74325
671. Pattern: ('3', '62'), ExpSup: 675.43, Utility: 73985
672. Pattern: ('29', '42'), ExpSup: 680.22, Utility: 73789
673. Pattern: ('17', '5'), ExpSup: 561.22, Utility: 73545
674. Pattern: ('25', '56'), ExpSup: 682.7, Utility: 73534
675. Pattern: ('42', '60'), ExpSup: 676.51, Utility: 73376
676. Pattern: ('25', '36', '7'), ExpSup: 332.1, Utility: 72914
677. Pattern: ('27', '29'), ExpSup: 554.89, Utility: 72626
678. Pattern: ('46', '72'), ExpSup: 478.09, Utility: 72497
679. Pattern: ('5', '9'), ExpSup: 665.83, Utility: 72391
680. Pattern: ('44', '72'), ExpSup: 481.8, Utility: 72245
681. Pattern: ('11', '31'), ExpSup: 410.63, Utility: 71945
682. Pattern: ('42', '66'), ExpSup: 652.23, Utility: 71539
683. Pattern: ('27', '60'), ExpSup: 529.61, Utility: 71510
684. Pattern: ('25', '62', '7'), ExpSup: 328.43, Utility: 71349
685. Pattern: ('29', '44'), ExpSup: 660.91, Utility: 70749
686. Pattern: ('42', '58', '7'), ExpSup: 325.93, Utility: 70745
687. Pattern: ('42', '56'), ExpSup: 643.85, Utility: 70665
688. Pattern: ('58', '64'), ExpSup: 657.97, Utility: 70620
689. Pattern: ('11', '58'), ExpSup: 532.83, Utility: 70332
690. Pattern: ('29',), ExpSup: 1598.92, Utility: 70088
691. Pattern: ('29', '46'), ExpSup: 642.56, Utility: 69514
692. Pattern: ('44', '60'), ExpSup: 652.46, Utility: 69435
693. Pattern: ('60',), ExpSup: 1565.64, Utility: 68908
694. Pattern: ('36', '64'), ExpSup: 641.43, Utility: 68775
695. Pattern: ('27', '66'), ExpSup: 513.51, Utility: 68712
696. Pattern: ('27', '56'), ExpSup: 518.07, Utility: 68662
697. Pattern: ('46', '60'), ExpSup: 630.42, Utility: 68407
698. Pattern: ('62', '64'), ExpSup: 641.93, Utility: 68111
699. Pattern: ('25', '3'), ExpSup: 623.94, Utility: 67954
700. Pattern: ('44', '56'), ExpSup: 628.92, Utility: 67713
701. Pattern: ('58', '7'), ExpSup: 765.83, Utility: 67239
702. Pattern: ('44', '66'), ExpSup: 609.19, Utility: 66997
703. Pattern: ('11', '36'), ExpSup: 506.15, Utility: 66822
704. Pattern: ('56',), ExpSup: 1513.93, Utility: 66780
705. Pattern: ('46', '66'), ExpSup: 608.12, Utility: 66721
706. Pattern: ('66',), ExpSup: 1498.92, Utility: 66644
707. Pattern: ('11', '62'), ExpSup: 503.39, Utility: 66448
708. Pattern: ('42', '64'), ExpSup: 628.12, Utility: 66152
709. Pattern: ('46', '56'), ExpSup: 604.82, Utility: 66085
710. Pattern: ('27', '72'), ExpSup: 381.75, Utility: 65880
711. Pattern: ('3', '42'), ExpSup: 604.76, Utility: 65633
712. Pattern: ('1',), ExpSup: 832.29, Utility: 65471
713. Pattern: ('29', '74'), ExpSup: 613.71, Utility: 65434
714. Pattern: ('36', '7'), ExpSup: 736.85, Utility: 65158
715. Pattern: ('17', '31'), ExpSup: 500.45, Utility: 64563
716. Pattern: ('56', '74'), ExpSup: 599.4, Utility: 64482
717. Pattern: ('62', '7'), ExpSup: 731.07, Utility: 64443
718. Pattern: ('5', '58'), ExpSup: 736.2, Utility: 64234
719. Pattern: ('60', '74'), ExpSup: 590.1, Utility: 64078
720. Pattern: ('27', '3'), ExpSup: 479.88, Utility: 63366
721. Pattern: ('25', '64'), ExpSup: 601.92, Utility: 62889
722. Pattern: ('36', '5'), ExpSup: 707.41, Utility: 62205
723. Pattern: ('17', '9'), ExpSup: 573.65, Utility: 62169
724. Pattern: ('31', '9'), ExpSup: 576.09, Utility: 62063
725. Pattern: ('5', '62'), ExpSup: 708.88, Utility: 61882
726. Pattern: ('3',), ExpSup: 1407.44, Utility: 61608
727. Pattern: ('3', '46'), ExpSup: 561.56, Utility: 61011
728. Pattern: ('66', '74'), ExpSup: 571.5, Utility: 60991
729. Pattern: ('3', '44'), ExpSup: 572.11, Utility: 60943
730. Pattern: ('21', '72'), ExpSup: 413.41, Utility: 60606
731. Pattern: ('21', '29'), ExpSup: 565.61, Utility: 60591
732. Pattern: ('36', '58', '9'), ExpSup: 342.44, Utility: 60523
733. Pattern: ('72', '74'), ExpSup: 397.49, Utility: 60250
734. Pattern: ('29', '54'), ExpSup: 559.15, Utility: 60167
735. Pattern: ('25', '7'), ExpSup: 689.09, Utility: 59938
736. Pattern: ('58', '62', '9'), ExpSup: 345.26, Utility: 59854
737. Pattern: ('44', '64'), ExpSup: 571.09, Utility: 59379
738. Pattern: ('11', '27'), ExpSup: 391.33, Utility: 59310
739. Pattern: ('21', '60'), ExpSup: 546.88, Utility: 59235
740. Pattern: ('11', '25'), ExpSup: 461.86, Utility: 58768
741. Pattern: ('11',), ExpSup: 1066.24, Utility: 58730
742. Pattern: ('27', '7'), ExpSup: 525.99, Utility: 58671
743. Pattern: ('54', '56'), ExpSup: 536.79, Utility: 58402
744. Pattern: ('54', '60'), ExpSup: 540.7, Utility: 58256
745. Pattern: ('21', '56'), ExpSup: 522.39, Utility: 57808
746. Pattern: ('36', '62', '9'), ExpSup: 326.09, Utility: 57689
747. Pattern: ('46', '64'), ExpSup: 542.52, Utility: 57437
748. Pattern: ('11', '42'), ExpSup: 432.87, Utility: 57194
749. Pattern: ('25', '5'), ExpSup: 656.29, Utility: 57086
750. Pattern: ('11', '46'), ExpSup: 439.59, Utility: 56984
751. Pattern: ('42', '7'), ExpSup: 648.95, Utility: 56926
752. Pattern: ('21', '66'), ExpSup: 524.23, Utility: 56837
753. Pattern: ('64',), ExpSup: 1337.59, Utility: 56768
754. Pattern: ('11', '44'), ExpSup: 429.84, Utility: 56268
755. Pattern: ('54', '66'), ExpSup: 508.32, Utility: 55935
756. Pattern: ('42', '5'), ExpSup: 612.15, Utility: 55630
757. Pattern: ('3', '74'), ExpSup: 521.62, Utility: 55406
758. Pattern: ('31', '58'), ExpSup: 630.18, Utility: 55149
759. Pattern: ('11', '74'), ExpSup: 419.73, Utility: 55086
760. Pattern: ('44', '7'), ExpSup: 636.1, Utility: 54652
761. Pattern: ('27', '5'), ExpSup: 478.12, Utility: 54209
762. Pattern: ('50',), ExpSup: 965.12, Utility: 54140
763. Pattern: ('17', '58'), ExpSup: 622.77, Utility: 54101
764. Pattern: ('27', '64'), ExpSup: 422.45, Utility: 53546
765. Pattern: ('31', '36'), ExpSup: 611.47, Utility: 53422
766. Pattern: ('46', '7'), ExpSup: 616.25, Utility: 53348
767. Pattern: ('44', '5'), ExpSup: 620.76, Utility: 53341
768. Pattern: ('31', '62'), ExpSup: 602.29, Utility: 52712
769. Pattern: ('54', '72'), ExpSup: 348.36, Utility: 52486
770. Pattern: ('21', '3'), ExpSup: 483.38, Utility: 52213
771. Pattern: ('17', '36'), ExpSup: 584.25, Utility: 52175
772. Pattern: ('46', '5'), ExpSup: 588.84, Utility: 51865
773. Pattern: ('11', '54'), ExpSup: 378.55, Utility: 51498
774. Pattern: ('17', '62'), ExpSup: 593.59, Utility: 51403
775. Pattern: ('7',), ExpSup: 1535.24, Utility: 50790
776. Pattern: ('7', '74'), ExpSup: 590.57, Utility: 50739
777. Pattern: ('3', '54'), ExpSup: 455.17, Utility: 50081
778. Pattern: ('64', '74'), ExpSup: 497.33, Utility: 49938
779. Pattern: ('31', '42'), ExpSup: 576.46, Utility: 49457
